time,angle,error,voltage
0.005411386489868164,0,90,100
0.016789913177490234,0,90,100
0.022610902786254883,1,89,100
0.028225421905517578,1,89,100
0.03334355354309082,2,88,100
0.03924417495727539,3,87,100
0.04411506652832031,4,86,100
0.05090165138244629,5,85,100
0.05560660362243652,7,83,100
0.0676114559173584,11,79,100
0.07359528541564941,13,77,100
0.07959890365600586,16,74,100
0.08437299728393555,17,73,100
0.09052443504333496,20,70,100
0.09515213966369629,23,67,100
0.10195350646972656,26,64,100
0.10675978660583496,28,62,100
0.11244368553161621,31,59,100
0.11756134033203125,34,56,100
0.1228938102722168,36,54,100
0.12848114967346191,40,50,100
0.1332399845123291,43,47,100
0.13913846015930176,46,44,100
0.14403557777404785,49,41,100
0.15082001686096191,52,38,100
0.15556049346923828,56,34,100
0.16122055053710938,58,32,100
0.166151762008667,62,28,100
0.17231154441833496,65,25,100
0.17702198028564453,69,21,100
0.1826937198638916,71,19,100
0.18831944465637207,75,15,100
0.19309210777282715,79,11,100
0.1987907886505127,83,7,100
0.20460748672485352,85,5,100
0.21070528030395508,89,1,100
0.2153174877166748,93,-3,-100
0.22244596481323242,97,-7,-100
0.229140043258667,101,-11,-100
0.23397088050842285,103,-13,-100
0.23952627182006836,106,-16,-100
0.24429750442504883,108,-18,-100
0.250748872756958,110,-20,-100
0.25543999671936035,112,-22,-100
0.26113295555114746,113,-23,-100
0.2659912109375,115,-25,-100
0.2715566158294678,116,-26,-100
0.27703070640563965,117,-27,-100
0.2826673984527588,117,-27,-100
0.28827548027038574,117,-27,-100
0.29299068450927734,117,-27,-100
0.29856371879577637,117,-27,-100
0.30432605743408203,117,-27,-100
0.31006407737731934,115,-25,-100
0.31459498405456543,115,-25,-100
0.3203754425048828,113,-23,-100
0.3250396251678467,113,-23,-100
0.3308694362640381,111,-21,-100
0.33557653427124023,109,-19,-100
0.3411886692047119,107,-17,-100
0.3460686206817627,105,-15,-100
0.35265278816223145,103,-13,-100
0.3582777976989746,101,-11,-100
0.36298632621765137,99,-9,-100
0.36858344078063965,96,-6,-100
0.37323880195617676,93,-3,-100
0.3795933723449707,91,-1,-100
0.3843090534210205,89,1,100
0.3902592658996582,86,4,100
0.3949759006500244,84,6,100
0.400707483291626,81,9,100
0.40628576278686523,79,11,100
0.41200757026672363,77,13,100
0.41667652130126953,76,14,100
0.42237257957458496,75,15,100
0.4270968437194824,74,16,100
0.43274950981140137,73,17,100
0.43833136558532715,73,17,100
0.4430675506591797,73,17,100
0.4486815929412842,73,17,100
0.4546830654144287,73,17,100
0.4651453495025635,74,16,100
0.4726428985595703,75,15,100
0.4787302017211914,77,13,100
0.4840571880340576,78,12,100
0.48996829986572266,80,10,100
0.49456334114074707,81,9,100
0.5005204677581787,83,7,100
0.5062792301177979,85,5,100
0.512162446975708,88,2,100
0.5168046951293945,89,1,100
0.5224826335906982,92,-2,-100
0.52762770652771,95,-5,-100
0.5329022407531738,97,-7,-100
0.5384700298309326,99,-9,-100
0.5431466102600098,101,-11,-100
0.5487532615661621,102,-12,-100
0.5535802841186523,103,-13,-100
0.5602848529815674,104,-14,-100
0.5649492740631104,105,-15,-100
0.5708067417144775,105,-15,-100
0.5754189491271973,106,-16,-100
0.5815553665161133,105,-15,-100
0.5865693092346191,105,-15,-100
0.5922236442565918,105,-15,-100
0.596900463104248,104,-14,-100
0.6025919914245605,103,-13,-100
0.6095054149627686,101,-11,-100
0.6142349243164062,100,-10,-100
0.6201272010803223,99,-9,-100
0.6246631145477295,96,-6,-100
0.6330657005310059,95,-5,-100
0.639683723449707,92,-2,-100
0.6444323062896729,90,0,0
0.650623083114624,88,2,100
0.656353235244751,85,5,100
0.6620433330535889,83,7,100
0.6667654514312744,82,8,100
0.6724474430084229,80,10,100
0.677100658416748,79,11,100
0.6845419406890869,78,12,100
0.6906085014343262,78,12,100
0.6951801776885986,77,13,100
0.7009851932525635,77,13,100
0.7056760787963867,77,13,100
0.7124054431915283,78,12,100
0.717090368270874,79,11,100
0.7227239608764648,79,11,100
0.7283449172973633,81,9,100
0.7330946922302246,82,8,100
0.7387337684631348,84,6,100
0.7467954158782959,87,3,100
0.7526659965515137,88,2,100
0.7592899799346924,91,-1,-100
0.7641258239746094,93,-3,-100
0.7696335315704346,95,-5,-100
0.7743306159973145,96,-6,-100
0.780059814453125,97,-7,-100
0.7852292060852051,99,-9,-100
0.7910237312316895,99,-9,-100
0.7956955432891846,100,-10,-100
0.8013501167297363,101,-11,-100
0.8062534332275391,101,-11,-100
0.8136167526245117,101,-11,-100
0.8193361759185791,100,-10,-100
0.8241727352142334,100,-10,-100
0.8296868801116943,99,-9,-100
0.834500789642334,98,-8,-100
0.8403317928314209,97,-7,-100
0.8449814319610596,95,-5,-100
0.8506455421447754,94,-4,-100
0.8552327156066895,92,-2,-100
0.8616738319396973,88,2,100
0.874241828918457,85,5,100
0.8802192211151123,83,7,100
0.8848674297332764,82,8,100
0.8913350105285645,79,11,100
0.896251916885376,79,11,100
0.9020869731903076,77,13,100
0.9067983627319336,77,13,100
0.9132156372070312,76,14,100
0.9188742637634277,76,14,100
0.9239282608032227,76,14,100
0.9296643733978271,77,13,100
0.9344701766967773,77,13,100
0.9403316974639893,78,12,100
0.9450068473815918,78,12,100
0.9524483680725098,80,10,100
0.9571232795715332,81,9,100
0.9636216163635254,83,7,100
0.9694905281066895,85,5,100
0.9742588996887207,87,3,100
0.9800741672515869,89,1,100
0.9846675395965576,90,0,0
0.9907011985778809,93,-3,-100
0.9954488277435303,95,-5,-100
1.0013988018035889,97,-7,-100
1.006291151046753,99,-9,-100
1.0140419006347656,101,-11,-100
1.0195508003234863,101,-11,-100
1.024296522140503,102,-12,-100
1.0300500392913818,103,-13,-100
1.0366735458374023,103,-13,-100
1.0423142910003662,103,-13,-100
1.0469701290130615,103,-13,-100
1.0528063774108887,102,-12,-100
1.0583348274230957,101,-11,-100
1.0641908645629883,101,-11,-100
1.070580005645752,99,-9,-100
1.0767831802368164,97,-7,-100
1.082481861114502,96,-6,-100
1.0871222019195557,94,-4,-100
1.0927541255950928,93,-3,-100
1.0987858772277832,90,0,0
1.1034166812896729,88,2,100
1.1095991134643555,86,4,100
1.1154131889343262,84,6,100
1.121103286743164,83,7,100
1.1260044574737549,81,9,100
1.1316094398498535,80,10,100
1.1366157531738281,79,11,100
1.1422860622406006,79,11,100
1.1469378471374512,79,11,100
1.152585744857788,79,11,100
1.1576523780822754,79,11,100
1.1629688739776611,79,11,100
1.1700010299682617,80,10,100
1.1745898723602295,81,9,100
1.1803808212280273,82,8,100
1.1850838661193848,83,7,100
1.1907894611358643,84,6,100
1.196174144744873,86,4,100
1.2015495300292969,88,2,100
1.2065637111663818,89,1,100
1.2122347354888916,92,-2,-100
1.2185683250427246,94,-4,-100
1.2231945991516113,97,-7,-100
1.2288012504577637,99,-9,-100
1.2339849472045898,99,-9,-100
1.2394933700561523,101,-11,-100
1.2441980838775635,102,-12,-100
1.2499332427978516,103,-13,-100
1.2545037269592285,103,-13,-100
1.2605507373809814,103,-13,-100
1.2712934017181396,103,-13,-100
1.2789280414581299,102,-12,-100
1.2841198444366455,101,-11,-100
1.290109634399414,100,-10,-100
1.2946431636810303,99,-9,-100
1.3006720542907715,98,-8,-100
1.305246353149414,96,-6,-100
1.311044454574585,95,-5,-100
1.3156788349151611,93,-3,-100
1.3222804069519043,90,0,0
1.3269164562225342,88,2,100
1.332622766494751,86,4,100
1.3382067680358887,84,6,100
1.3429906368255615,83,7,100
1.3485605716705322,81,9,100
1.353405237197876,80,10,100
1.3592784404754639,79,11,100
1.3640985488891602,79,11,100
1.370783805847168,79,11,100
1.3754513263702393,79,11,100
1.3811089992523193,79,11,100
1.3860270977020264,79,11,100
1.3915746212005615,80,10,100
1.3965859413146973,80,10,100
1.4023082256317139,81,9,100
1.407003402709961,83,7,100
1.4128570556640625,84,6,100
1.418419361114502,86,4,100
1.4242544174194336,87,3,100
1.4300434589385986,90,0,0
1.4346191883087158,91,-1,-100
1.4403672218322754,93,-3,-100
1.445000171661377,95,-5,-100
1.4506676197052002,97,-7,-100
1.4552204608917236,98,-8,-100
1.461014986038208,99,-9,-100
1.4656424522399902,99,-9,-100
1.472353458404541,100,-10,-100
1.4769916534423828,100,-10,-100
1.4826388359069824,100,-10,-100
1.4881806373596191,100,-10,-100
1.492978572845459,99,-9,-100
1.4984943866729736,99,-9,-100
1.5052616596221924,97,-7,-100
